name,description,slug,competency,tools_languages_methodologies,learning_resources,related_skills,rank
Log analysis,"Ability to use log analysis tools, identify patterns and anomalies and interpret log data to diagnose issues and improve system performance.",log-analysis,software-engineering,,,software-debugging,430
Numerical analysis,"Ability to develop, apply and improve numerical methods to approximate solutions to mathematical problems.",numerical-analysis,software-engineering,,,computer-modelling-and-simulation,370
Packaging and releasing code,"Preparing software for distribution, including compiling, bundling dependencies, versioning, preparing release notes and creating installable or deployable artifacts.",packaging-and-releasing-code,software-engineering,binary-executables|cmake|conda-forge|docker|docker-hub|github-container-registry-ghcr|github-releases|json|pypi|spack-io|toml|yaml|zip-files,pyopensci-packages|ropensci-packages,,490
Parallel programming,"Applying core parallel software design concepts, methodologies and algorithms for writing parallel code.",parallel-programming,software-engineering,algorithm-scalability-design|atomic-operations|communication-optimisation|concurrent-futures|cuda|dask|dpc-plus-plus|hip|load-balancing|locks|memory-hierarchies|memory-hierarchy-and-data-locality-optimisation|message-passing-interface-mpi|message-passing-parallelism-mpp|multi-processing|multi-threading|openacc|openmp|parallel-data-and-task-decomposition|posix-threads|semaphores|shared-memory-programming|signals|single-instruction-multiple-data-simd|sycl|synchronisation-and-concurrency-control,accelerator-and-gpu-programming|introduction-to-parallel-computing|introduction-to-parallel-programming-by-the-carpentries|parallel-and-high-performance-computing|parallel-scaling-guide|the-art-of-multiprocessor-programming,parallel-computing-and-usage-of-hpc-systems,540
Profiling and optimising code,"Ability to analyse code execution, identify performance bottlenecks and implement changes to improve efficiency and responsiveness.",profiling-and-optimising-code,software-engineering,,,software-validation-and-verification|green-computing|performance-analysis-and-optimisation,420
Programming,"Writing code using the knowledge of programming languages - understanding syntax, algorithms, code and data structures.",programming,software-engineering,algorithms|bash|c|c-sharp|c-plus-plus|fortran|ide|java|javascript|julia|jupyter-notebooks|lisp|makefiles|matlab|numpy|pandas|pascal|prolog|python|r|rstudio|ruby|rust|scala|shell-scripting|typescript,building-better-research-software|introduction-to-good-practices-in-research-software-development-by-the-carpentries|scientific-python-development-guide,computational-scientific-workflows-data-pipelines|data-analysis|data-visualisation,320
Programming paradigms,Ability to understand and apply different approaches to structuring and organising code.,programming-paradigms,software-engineering,cobol|fortran|functional-programming|java|lisp|logic-programming|object-oriented-programming-oop|pascal|procedural-programming|prolog|python|smalltalk,,,550
Reading and understanding code and documentation,"Comprehending technical documents to grasp software functionality, architecture and usage.",reading-and-understanding-code-and-documentation,software-engineering,,,,340
Software architecture and design,Ability to conceptualise and design the foundational structure of a software system aligned with stakeholder requirements.,software-architecture-and-design,software-engineering,design-patterns|entity-relationship-diagrams-erd|microservices|model-view-controller-mvc|n-tier-architecture|uml,,,590
Software debugging,"Ability to use various techniques and tools to identify, isolate and fix errors in software code.",software-debugging,software-engineering,gdb,,log-analysis,400
Software patterns ,"Ability to identify, understand and apply well-established, reusable solutions to common problems in software development.",software-patterns,software-engineering,algorithms|design-patterns,,,560
Software requirements,"Ability to effectively elicit, analyse and document the needs and requirements of stakeholders, translating them into a clear and actionable set of software specifications.",software-requirements,software-engineering,,interviews-with-end-users-of-the-software,,580
Software testing,"Ability to design, execute and analyse various types of tests, covering both manual and automated techniques.",software-testing,software-engineering,acceptance-testing|cypress|github-actions|integration-testing|jasmine|jest|junit|karma|mocha|mockito|postman|pytest|pyunit|sonarqube|system-testing|test-driven-development|unit-testing,building-better-research-software|code-testing-the-turing-way,,390
Software validation and verification,Ensuring that a software system meets specifications and fulfills its intended purpose.,software-validation-and-verification,software-engineering,checkmarx|cypress|jprofiler|selenium|sonarqube|system-testing,,profiling-and-optimising-code,450
Software version control,"Ability to use tools and techniques to track and manage changes to source code, ensuring efficient development and collaboration.",software-version-control,software-engineering,bitbucket|git|github|gitlab|mercurial|svn,carpentries-courses|collaborative-version-control-with-git-and-github-by-the-carpentries|github-documentation|version-control-the-turing-way,,440
Task automation,"Expertise in creation and maintenance of automated scripts and workflows that build, test and deploy software.",task-automation,software-engineering,ansible|aws-codepipeline|azure-devops|bitbucket-pipelines|github-actions|gitlab-cicd|jenkins|makefiles|travis-ci,,computational-scientific-workflows-data-pipelines,520
Text mining,Ability to design expressions to match specific patterns within textual data.,text-mining,software-engineering,regular-expressions,library-carpentry-introduction-to-regular-expressions,,350
General Web technologies and APIs,"Ability to understand, use and implement fundamental technologies for web development and communication.",general-web-technologies-and-apis,web-and-mobile-app-development,html|https|rest|soap|ssltls,,,240
Mobile app development,"Ability to design, implement and optimise the user interface and user experience of mobile applications, translating design concepts into functional, responsive, and visually engaging app interfaces.",mobile-app-development,web-and-mobile-app-development,dart|flutter|react-native|swift|xamarin,,website-development,290
Web accessibility,"Ability to design and build websites and web applications that are usable by everyone, including individuals with disabilities.",web-accessibility,web-and-mobile-app-development,wave,introduction-to-web-accessibility,,250
Web frameworks for back-end development,"Ability to use web frameworks to build and maintain server-side applications, including implementing application logic, interacting with databases, and developing APIs for data and service access.",web-frameworks-for-backend-development,web-and-mobile-app-development,dart|dash|django|express|fastapi|flask|flutter|jekyll|nest|next|node|php|react-native|ruby-on-rails|shiny|streamlit,,web-frameworks-for-frontend-development|website-development,270
Web frameworks for front-end development,Proficiency in using programming tools and libraries to build and maintain the interactive and visual aspects of websites and web applications.,web-frameworks-for-frontend-development,web-and-mobile-app-development,angular|bootstrap|bulma|css|javascript|jquery|node-js|nuxt|react|sass|svelte|tailwind|typescript|vue|wordpress,,web-frameworks-for-backend-development|website-development,260
Website development,Ability to create Web pages or websites to maintain a presence on the World Wide Web.,website-development,web-and-mobile-app-development,css|github-pages|html|javascript|json|markdown|sass|wordpress,,web-frameworks-for-frontend-development|web-frameworks-for-backend-development|mobile-app-development,280
Accessible design,Ability to design and develop user interfaces and experiences that are usable by people with a wide range of abilities and disabilities.,accessible-design,user-interface-user-experience-uiux-design,colour-contrast-checking|wcag,webaim-accesibility-resources,,630
Designing user experience,"Understanding user needs through research, creating intuitive interfaces via wireframing and prototyping and ensuring usability through testing.",designing-user-experience,user-interface-user-experience-uiux-design,graphical-user-interfaces|wireframing,,,620
Designing user interfaces,"Proficiency in design principles, best practices, heuristic, tools and understanding of user behaviour for interface design.",designing-user-interfaces,user-interface-user-experience-uiux-design,graphical-user-interfaces|pyqt|pyside|qt|tkinter|wireframing,,,610
Environment and package management,"Technical proficiency in sourcing, compiling, building and adminstrating software environments (software packages and dependencies).",environment-and-package-management,general-systems-infrastructure,binary-executables|building-systems-from-source|cmake|eessi-io|lmod|spack-io,,system-configuration-and-administration|hpc-software-stack,730
Hardware systems,"Knowledge of the physical components (including CPUs, GPUs, memory and accelerators) that support small and large-scale computational tasks.",hardware-systems,general-systems-infrastructure,cpus|gpus|memory-hierarchies|nfs|server-message-block-smb,,storage-systems|network-architecture-design|network-communication-protocols|systems-architecture-and-infrastructure-design|supercomputer-architecture,660
Network and application security,"Proficiency in protecting networks, systems and applications from security threats.",network-and-application-security,general-systems-infrastructure,authentication|authorisation-and-access-control|aws-web-application-firewall|azure-firewall|cloudflare|encryption|firewalls|google-cloud-armor|https|ipsec|iptables|microsoft-defender|nftables|pf|ssh|ssltls|vulnerability-management,what-is-authorization-and-access-control,network-communication-protocols|system-configuration-and-administration|web-security,700
Network architecture design,"Ability to design and optimise network structures and topologies to ensure reliable, secure and high-performance communication between systems, considering factors such as scalability, latency, bandwidth and fault tolerance.",network-architecture-design,general-systems-infrastructure,infiniband|network-architecture|network-performance-analysis|network-resilience-and-fault-tolerance|network-topology-design|routing-and-traffic-engineering,,hardware-systems|network-communication-protocols|systems-architecture-and-infrastructure-design|supercomputer-architecture,680
Network communication protocols,"Understanding how information is transmitted, routed and received across networks.",network-communication-protocols,general-systems-infrastructure,border-gateway-protocol-bgp|dns|ftpsftp|https|imap|infiniband|internet-protocol-ip|ipsec|pop3|routing-algorithms|smtp|tcp|udp|websocket,,hardware-systems|network-architecture-design|network-and-application-security|system-configuration-and-administration|web-protocols|web-security,690
Storage systems,"Ability to design, configure, manage and optimise systems used to store, organise, protect, and retrieve digital data, including storage hardware, storage architectures, data management strategies and reliability mechanisms.",storage-systems,general-systems-infrastructure,data-availability-and-capacity-planning|data-redundancy-and-reliability|nfs|opendap|storage-architecture|storage-hardware,,data-and-database-management|hardware-systems|systems-architecture-and-infrastructure-design|system-configuration-and-administration|highperformance-storage-systems,670
System configuration and administration,"
Ability to configure, manage and maintain systems to support live applications and services.",system-configuration-and-administration,general-systems-infrastructure,ansible|argo|argo-cd|helm|immutable-operating-systems|linux|macos|microsoft-windows|operating-systems|packer|posix-file-permissions|singularity|sylc|terraform|unix|unix-domain-sockets,,storage-systems|network-communication-protocols|network-and-application-security|environment-and-package-management,720
Systems architecture and infrastructure design,"Ability to design integrated computing systems by selecting and organising compute, storage, and networking components to meet performance, scalability and reliability requirements.",systems-architecture-and-infrastructure-design,general-systems-infrastructure,,,hardware-systems|storage-systems|network-architecture-design,710
Web and application servers,Ability to manage and maintain the infrastructure that hosts websites and Web applications and services.,web-and-application-servers,web-infrastructure,apache-tomcat|apache-web-server|nginx|node-js|wildfly,,,910
Web protocols,"Ability to understand, implement, and manage the various communication standards that govern data exchange on the Web.",web-protocols,web-infrastructure,dns|https|ssltls,,network-communication-protocols,890
Web security,"Ability to protect websites, Web applications and web infrastructure from various online threats and vulnerabilities.",web-security,web-infrastructure,https|ipsec|public-key-certificates|ssh|ssltls,,network-communication-protocols|network-and-application-security,900
Cluster infrastructure,"Familiarity with cluster infrastructure's physical components including compute nodes, head nodes, login nodes, interconnects, networking, lock management.",cluster-infrastructure,hpc-infrastructure,redhat-cluster-suite,cloud-native-glossary|redhat-cluster-suite,cost-modelling|highperformance-storage-systems,820
Cluster management,"Managing and maintaining HPC clusters to ensure reliability, performance, and availability. This includes system configuration, resource allocation, user and quota management, security, monitoring, upgrades, and troubleshooting hardware and software issues in multi-user, large-scale computing environments.",cluster-management,hpc-infrastructure,ansible|ganglia|grafana|nagios|prometheus|warewulf|xcat,,hpc-software-stack|job-scheduling-and-resource-management,840
High-performance storage systems,"Ability to design, configure and use storage systems that allow multiple processes or compute nodes to read and write data simultaneously, enabling high-throughput data access in parallel and distributed computing environments.",highperformance-storage-systems,hpc-infrastructure,aws-s3|beegfs|fast-storage|gpfs|lustre|parallel-file-systems|storage-performance-management,,storage-systems|supercomputer-architecture|cluster-infrastructure|hpc-software-stack,810
HPC software stack,"Understanding of the layered software environment that enables high-performance computing, including operating systems, compilers, libraries, middleware, runtimes, and scientific applications. This includes configuring, deploying, and maintaining software to support efficient and reproducible computation on HPC systems.",hpc-software-stack,hpc-infrastructure,binary-executables|blas|compilers|cuda|gcc|gdb|intel-vtune|lapack|libraries|linux|message-passing-interface-mpi|nvidia-hpc-sdk|nvidia-nsight|openmp|operating-systems|unix|valgrind,,environment-and-package-management|highperformance-storage-systems|cluster-management,830
Job scheduling and resource management,"Understanding of job schedulers and resource management to allocate compute resources effectively. This includes writing job submission scripts, understanding queue policies, optimising resource requests, and supporting fair and efficient use of shared HPC infrastructure.",job-scheduling-and-resource-management,hpc-infrastructure,cgroups|htcondor|job-scheduling|load-balancing|load-sharing-facility-lsf|oracle-grid-engine|portable-batch-system-pbs|simple-linux-utility-for-resource-management-slurm,,cluster-management|parallel-computing-and-usage-of-hpc-systems,850
Parallel computing and usage of HPC systems,"Understaning of cluster operation and proficiency in using HPC infrastructures and running, scaling and optimising parallel applications on high-performance computing systems.",parallel-computing-and-usage-of-hpc-systems,hpc-infrastructure,apache-spark|cuda|distributed-computing|hpc-tiers|load-balancing|memory-hierarchies|post-processing|ray|scalability-analysis,introduction-to-parallel-computing|parallel-and-high-performance-computing|the-art-of-multiprocessor-programming,parallel-programming|job-scheduling-and-resource-management|performance-analysis-and-optimisation,870
Performance analysis and optimisation,Ability to profile and benchmark applications to identify bottlenecks and optimise applications and systems on HPC systems for high performance.,performance-analysis-and-optimisation,hpc-infrastructure,arm-map|arm-performance-reports|excalibur-tests|extrae|hpctoolkit|intel-advisor|paraver|reframe|scalasca|tau|vampir,,profiling-and-optimising-code|parallel-computing-and-usage-of-hpc-systems,860
Supercomputer architecture,"Understanding of supercomputer architectures (e.g., node types, interconnects, storage systems).",supercomputer-architecture,hpc-infrastructure,,,hardware-systems|network-architecture-design|highperformance-storage-systems,800
Cloud computing,"Ability to work with cloud services, platforms, and technologies in a cost-efficient and optimised manner.",cloud-computing,cloud-infrastructure,aws|azure|terraform,optimize-athena-performance,serverless-computing,770
Cost modelling,"Ability to estimate, monitor and optimise the cost of cloud resources and services.",cost-modelling,cloud-infrastructure,aws-pricing-calculator|azure-calculator|cloud-cost-calculators|remora|simgrid|slurm-accounting-tools,green500,cluster-infrastructure,750
Serverless computing,"Proficiency in serverless technologies, understanding of event-driven architectures and a cloud computing execution model that allows one to build and run application code without provisioning or managing servers or back-end infrastructure and allocates machine resources on an as-used basis. ",serverless-computing,cloud-infrastructure,aws-lambda|azure-functions|google-cloud-functions|netlify,,cloud-computing,760
Virtualisation and container infrastructure,"Ability to create, manage, orchestrate and troubleshoot virtualisation technologies, including the ability to deploy, scale, and monitor applications running within them.",virtualisation-and-container-infrastructure,cloud-infrastructure,ansible|apptainer|awx|docker|kro|microsoft-hyper-v|netbox|oracle-virtualbox|podman|pulumi|singularity|virtualbox|vmware,,containerisation,780
Adaptability of technical skills across domains,"Ability to apply scientific, technical or engineering methodologies to different domains and problems.",adaptability-of-technical-skills-across-domains,domain-knowledge,,,adaptability,1590
Domain-specific background knowledge,"An understanding of concepts, theories, and best practices within a particular field or discipline.",domainspecific-background-knowledge,domain-knowledge,,,,1570
Specialist technical or hardware knowledge,Knowledge of specialised computer or hardware systems designed to control specific functions within a larger device or machine,specialist-technical-or-hardware-knowledge,domain-knowledge,arduino|controlling-actuators|embedded-systems|internet-of-things-iot|medical-devices|radars|raspberry-pi|satellite-hardware|sensors|system-on-a-chip-soc,,,1600
Translating technical language for all stakeholders,"Translating between technical software engineering concepts and the language of non-software-engineer stakeholders, such as researchers, scientists or other business or academic teams.",translating-technical-language-for-all-stakeholders,domain-knowledge,simplifying-technical-jargon,,public-speaking-and-presentation|technical-writing,1580
