name,description,slug,competency,tools_languages_methodologies,learning_resources,related_skills,rank
Using collaborative tools,"Ability to effectively use collaborative platforms and tools for sharing ideas, content and real-time collaboration across distances.",using-collaborative-tools,teamwork,codimd|dropbox|github|google-docs|hedgedoc|mattermost|microsoft-teams|slack,a-guide-to-using-virtual-events-to-facilitate-community-building-selecting-and-testing-online-tools,collaboration,1190
Active listening,Ability to be an attentive and engaged listener.,active-listening,verbal-and-written-communication,,,understanding-extracting-and-documenting-other-peoples-ideas-or-knowledge,1750
Assertive communication,"Ability to be assertive in communication, including setting boundaries and declining requests firmly and politely when needed.",assertive-communication,verbal-and-written-communication,,,,1770
Information synthesis and concise written communication,Ability to structure and condense information in a written form for engaging with a diverse audience.,information-synthesis-and-concise-written-communication,verbal-and-written-communication,communication-with-general-public|communication-with-non-technical-audiences|communication-with-technical-audiences|writing-blog-posts,,documenting-software|technical-writing|knowledge-exchange,1710
Multimedia and social content production,"Ability to create, edit, and manage various forms of digital content across multiple media platforms, e.g. graphic design, audio/video/animation production, social media, etc.",multimedia-and-social-content-production,verbal-and-written-communication,adobe-illustrator|adobe-photoshop|adobe-premiere|bluesky|canva|linkedin|mastodon|obs|podcasts|x|youtube,social-media-for-research-communications-the-turing-way,,1730
Note taking,Ability to document and organise meeting information and capture clear actions.,note-taking,verbal-and-written-communication,recording-clear-actions,,,1740
Providing positive and constructive feedback,"Ability to offer supportive and insightful feedback and review comments on other's work to improve quality, foster learning, and uphold standards.",providing-positive-and-constructive-feedback,verbal-and-written-communication,,cscce-mini-workshop-on-the-topic-of-giving-and-receiving-feedback|shared-documents-and-constructive-collaboration|thanks-for-the-feedback,peer-review-of-research-papers,1760
Public speaking and presentation,"Public speaking, presentation and communication with a diverse audience (general public, non-technical, technical or cross-disciplinary audiences).",public-speaking-and-presentation,verbal-and-written-communication,communication-with-general-public|communication-with-non-technical-audiences|communication-with-technical-audiences|designing-presentations|google-slides|microsoft-powerpoint,effective-communication-in-the-workplace|presenting-posters-and-conference-talks-the-turing-way|ptp-public-speaking-courses,translating-technical-language-for-all-stakeholders|knowledge-exchange,1700
Technical writing,"Ability to create clear, concise, and structured technical documentation.",technical-writing,verbal-and-written-communication,communication-with-technical-audiences|latex|markdown|mkdocs|overleaf|quarto|r-markdown|read-the-docs|sphynx|technical-documentation|technical-or-scientific-reports,,documenting-software|translating-technical-language-for-all-stakeholders|writing-research-papers|information-synthesis-and-concise-written-communication,1720
Community building and leadership,"Ability to inspire, guide and mobilise people toward a shared vision or a goal.",community-building-and-leadership,community-and-outreach,,a-guide-to-using-virtual-events-to-facilitate-community-building-selecting-and-testing-online-tools|community-participation-model-cscce|cscces-guide-on-how-to-steward-large-scale-collaborations|githubs-building-community,setting-a-mission|community-governance-and-management|open-project-culture-structure-and-practices,1820
Community engagement,"Ability to actively and constructively participate in professional, research and open communities in ways that build relationships, enable collaboration, support others and strengthen shared goals.",community-engagement,community-and-outreach,,outlining-the-structure-of-your-open-source-software-project,collaboration,1850
Community governance and management,"Setting norms, structures and processes to guide decision-making, coordination, communication and participation within a community.",community-governance-and-management,community-and-outreach,assessing-community-health|code-of-conduct|decision-making-processes|githubs-minimum-viable-governance|marthas-rules|mattermost|meeting-rules|onboarding-new-members|slack|understanding-and-defining-community-roles,3-metrics-to-measure-your-open-source-community-health|chaoss-community-metrics|community-governance-resources|githubs-building-community|governance-in-the-turing-way|metadocencia-builds-its-governance-collaboratively|redhat-open-source-project-health-checklist|ukris-guide-to-appling-for-funding,meeting-chairing-and-management|community-building-and-leadership|open-project-culture-structure-and-practices,1830
Networking and relationship building,"Establishing connections at professional gatherings to exchange knowledge, support and opportunities for growth.",networking-and-relationship-building,community-and-outreach,,,,1800
"Open project culture, structure and practices ","Understanding of different open science or open source communities of practice and how they work - structures, norms, governance, incentives and sustainability.",open-project-culture-structure-and-practices,community-and-outreach,open-source-principles,apache-software-foundation|galaxy-project|jupyter-project|linux-foundation|open-source-software-oss-foundations|python-software-foundation|r-foundation|research-software-alliance-resa|what-is-open-source-software-oss,starting-an-organisation|community-building-and-leadership|community-governance-and-management,1840
Peer support and creating safe spaces,"Providing emotional, social and practical support to other members of a community, fostering mutual understanding, encouragement and personal growth.",peer-support-and-creating-safe-spaces,community-and-outreach,,,,1790
Raising awareness of or advocating for issues,"Identifying, communicating and educating others about a specific problem to generate action, support or change.",raising-awareness-of-or-advocating-for-issues,community-and-outreach,,,,1810
Knowledge exchange,"Ability to share information, expertise and good practices within a team, organisation or community.",knowledge-exchange,teaching-and-learning,canva|google-slides|microsoft-powerpoint|onboarding-new-members|pair-programming|presentations,,public-speaking-and-presentation|information-synthesis-and-concise-written-communication,1900
Lifelong learning,"Ongoing, voluntary and self-motivated pursuit of learning for either personal or professional reasons.",lifelong-learning,teaching-and-learning,,,curiosity,1890
Pedagogical skills and theory of learning,"Ability to design, deliver and evaluate teaching based on an understanding of the theory of how people learn and how best to teach them.",pedagogical-skills-and-theory-of-learning,teaching-and-learning,,carpentries-instructor-training|enseando-tecnologa-en-comunidadspanish|teaching-tech-together,,1870
Self-learning,Ability to learn independently and teach oneself new technical and non-technical skills.,selflearning,teaching-and-learning,,,,1880
Teaching and training others,"Ability to convey theoretical and practical knowledge to others, address misconceptions, etc. in training events, while applying good practice from pedagogical theory.",teaching-and-training-others,teaching-and-learning,,carpentries-instructor-training|enseando-tecnologa-en-comunidadspanish|teaching-tech-together,,1910
Training material development,"Ability to design and develop various short-format training materials (tutorials, courses, etc.), while applying good practice from pedagogical theory.",training-material-development,teaching-and-learning,,carpentries-collaborative-lesson-development-training,,1920
Acknowledgement of contributions,"Acknowledging and appreciating contributions and achievements of team members, reinforcing positive behavior and boosting morale.",acknowledgement-of-contributions,people-and-team-management,,,,1270
Recruiting people,"Ability to recruite suitable candidates for a position, including the creation of clear and effective job descriptions that outline roles, responsibilities, qualifications and expectations.",recruiting-people,people-and-team-management,,,,1250
Shielding colleagues from destructive criticism,"Protecting team members from unconstructive or harmful feedback by offering support and ensuring criticism is delivered in a constructive, respectful manner.",shielding-colleagues-from-destructive-criticism,people-and-team-management,,,,1280
Team building and development,"Ability to bring new people, improve skills, knowledge, and overall capabilities in a team, and foster a positive and collaborative environment that enhances teamwork.",team-building-and-development,people-and-team-management,,exploring-career-mentoring-and-coaching,mentoring-and-coaching,1260
Team management,"Ability to lead, coordinate and motivate a group of individuals to achieve common goals.",team-management,people-and-team-management,,,,1230
Team performance management,"Ability to set goals, monitor progress, provide feedback and evaluate performance of team members to improve efficiency and effectiveness.",team-performance-management,people-and-team-management,,,,1240
Understanding other people's goals and motivations,"Ability to empathise with and gain insight into the personal and professional goals of others, allowing for better collaboration, conflict resolution and alignment within teams.",understanding-other-peoples-goals-and-motivations,people-and-team-management,,,influencing-persuasion-and-negotiation,1290
Budget management,"Ability to plan, allocate, monitor and control financial resources to ensure that activities are delivered within budget while meeting objectives.",budget-management,programme-and-project-management,,,,1420
Content and knowledge management,"Ability to organise, store, share and leverage information and resources within an organisation or community effectively making it easily accessible, well-documented and utilised in decision-making, problem-solving and innovation.",content-and-knowledge-management,programme-and-project-management,atlassian-confluence|content-management-systems|drupal|google-docs|google-sheets|microsoft-sharepoint|wordpress,,,1490
Crisis and change management,"Ability to effectively navigate and manage sudden, unexpected situations (crisis) and significant transformations (change) within an organisation or project.",crisis-and-change-management,programme-and-project-management,,,,1460
Event management,"Ability to plan, organise and execute events efficiently, ensuring that all aspects are well-coordinated and meet the goals of the event.",event-management,programme-and-project-management,,event-organisation-guide,,1470
Gathering and understanding stakeholder requirements,"Ability to actively listen to and engage with users, funders and other stakeholders to identify their needs, expectations and constraints - including asking the right questions, clarifying assumptions and documenting requirements in a way that can guide project planning and delivery.",gathering-and-understanding-stakeholder-requirements,programme-and-project-management,stakeholder-analysis,,,1520
Meeting chairing and management,"Ability to lead and facilitate meetings effectively, ensuring they are well-organised, productive, achieve their objectives and encourage respectful and active participant engagement.",meeting-chairing-and-management,programme-and-project-management,code-of-conduct|guiding-discussions|meeting-rules|setting-agenda,,project-management|community-governance-and-management,1500
