name,description,slug,rank
Information and data technologies,"Knowledge and application of methodologies, tools and systems to harness data and drive insight, innovation, and informed decision-making across digital research.",information-and-data-technologies,10
Software design and development,"Expertise in design and development of software solutions that are robust, sustainable and fit for purpose, enabling scientific and technological progress.",software-design-and-development,20
Computing infrastructures and systems,"Understanding and oversight of digital infrastructure - encompassing computing, storage and networks - that underpins research, collaboration and digital service delivery.",computing-infrastructures-and-systems,30
Domain expertise and research,"Disciplinary insight and research acumen, enabling the generation of new knowledge, critical analysis and the application of theory to practice.",domain-expertise-and-research,40
Professional and people skills,"Core capabilities that enable individuals to operate effectively and ethically within diverse, multidisciplinary and evolving professional environments.",professional-and-people-skills,50
Communication,"Ability to convey ideas, knowledge and impact across diverse audiences, fostering understanding, knowledge transfer and engagement within and beyond the organisation.",communication,60
Leadership and management,"The capacity to guide people, projects and organisations with vision and accountability, ensuring strategic alignment, innovation and the effective use of resources.",leadership-and-management,70
